銀行コード	支店コード	銀行名	支店略称	支店名称	支店名称かな	検索用かな
0398	111	あおぞら銀行	本店	本店	ほんてん	ほんてん-ほんてん
1688	001	尼崎信用金庫	本店営業部	本店営業部	ほんてんえいぎょうぶ	ほんてんえいぎょうぶ-ほんてんえいぎょうぶ
0172	100	阿波銀行	本店営業部	本店営業部	ほんてんえいぎょうぶ	ほんてんえいぎょうぶ-ほんてんえいぎょうぶ
0040	001	イオン銀行	ガーネット	ガーネット支店	が－ねつとしてん	が－ねつとしてん-が－ねつとしてん
0161	001	池田泉州銀行	泉州営業部	泉州営業部	せんしゆうえいぎょうぶ	せんしゆうえいぎょうぶ-せんしゅうえいぎょうぶ
0174	100	伊予銀行	本店営業部	本店営業部	ほんてんえいぎょうぶ	ほんてんえいぎょうぶ-ほんてんえいぎょうぶ
0123	001	岩手銀行	本店営業部	本店営業部	ほんてんえいぎょうぶ	ほんてんえいぎょうぶ-ほんてんえいぎょうぶ
1862	001	宇和島信用金庫	本店営業部	本店営業部	ほんてんえいぎょうぶ	ほんてんえいぎょうぶ-ほんてんえいぎょうぶ
0039	001	auじぶん銀行	本店	本店	ほんてん	ほんてん-ほんてん
0300	001	SMBC信託銀行	本店	本店	ほんてん	ほんてん-ほんてん
0576	001	愛媛銀行	本店営業部	本店営業部	ほんてんえいぎょうぶ	ほんてんえいぎょうぶ-ほんてんえいぎょうぶ
0183	001	大分銀行	本店営業部	本店営業部	ほんてんえいぎょうぶ	ほんてんえいぎょうぶ-ほんてんえいぎょうぶ
0152	001	大垣共立銀行	本店営業部	本店営業部	ほんてんえいぎょうぶ	ほんてんえいぎょうぶ-ほんてんえいぎょうぶ
1552	001	岡崎信用金庫	本店営業部	本店営業部	ほんてんえいぎょうぶ	ほんてんえいぎょうぶ-ほんてんえいぎょうぶ
7755	003	岡山市農業協同組合	芳田	芳田支所	よしだししょ	よしだししょ-ょしだししょ
1732	001	おかやま信用金庫	本店営業部	本店営業部	ほんてんえいぎょうぶ	ほんてんえいぎょうぶ-ほんてんえいぎょうぶ
0573	100	香川銀行	本店営業部	本店営業部	ほんてんえいぎょうぶ	ほんてんえいぎょうぶ-ほんてんえいぎょうぶ
8332	001	香川県農業協同組合	本店	本店	ほんてん	ほんてん-ほんてん
8332	001	香川県農業協同組合	本店	本店	ほんてん	ほんてん-ほんてん
0185	000	鹿児島銀行	本店営業部	本店営業部	ほんてんえいぎょうぶ	ほんてんえいぎょうぶ-ほんてんえいぎょうぶ
2674	001	笠岡信用組合	本店営業部	本店営業部	ほんてんえいぎょうぶ	ほんてんえいぎょうぶ-ほんてんえいぎょうぶ
1581	002	北伊勢上野信用金庫	本店営業部	本店営業部	ほんてんえいぎょうぶ	ほんてんえいぎょうぶ-ほんてんえいぎょうぶ
0146	101	北國銀行	本店営業部	本店営業部	ほんてんえいぎょうぶ	ほんてんえいぎょうぶ-ほんてんえいぎょうぶ
1741	001	吉備信用金庫	本店営業部	本店営業部	ほんてんえいぎょうぶ	ほんてんえいぎょうぶ-ほんてんえいぎょうぶ
0163	152	紀陽銀行	ATM統括	ATM統括支店	えいていえむとうかつしてん	えいていえむとうかつしてん-えいていえむとうかつしてん
0158	101	京都銀行	本店営業部	本店営業部	ほんてんえいぎょうぶ	ほんてんえいぎょうぶ-ほんてんえいぎょうぶ
1611	001	京都中央信用金庫	本店営業部	本店営業部	ほんてんえいぎょうぶ	ほんてんえいぎょうぶ-ほんてんえいぎょうぶ
2978	542	近畿労働金庫	大津	大津支店	おおつしてん	おおつしてん-おおつしてん
1703	001	倉吉信用金庫	うつぶき	うつぶき支店	うつぶきしてん	うつぶきしてん-うつぶきしてん
1752	001	呉信用金庫	本店営業部	本店営業部	ほんてんえいぎょうぶ	ほんてんえいぎょうぶ-ほんてんえいぎょうぶ
0128	100	群馬銀行	本店営業部	本店営業部	ほんてんえいぎょうぶ	ほんてんえいぎょうぶ-ほんてんえいぎょうぶ
0578	001	高知銀行	本店営業部	本店営業部	ほんてんえいぎょうぶ	ほんてんえいぎょうぶ-ほんてんえいぎょうぶ
1680	001	神戸信用金庫	本店	本店	ほんてん	ほんてん-ほんてん
0570	001	西京銀行	下関	下関支店	しものせきしてん	しものせきしてん-しものせきしてん
0017	104	埼玉りそな銀行	県庁	県庁支店	けんちようしてん	けんちようしてん-けんちょうしてん
8762	001	佐賀県農業協同組合	本所	本所	ほんしよ	ほんしよ-ほんしょ
0167	001	山陰合同銀行	本店営業部	本店営業部	ほんてんえいぎょうぶ	ほんてんえいぎょうぶ-ほんてんえいぎょうぶ
0157	110	滋賀銀行	本店営業部	本店営業部	ほんてんえいぎょうぶ	ほんてんえいぎょうぶ-ほんてんえいぎょうぶ
0175	014	四国銀行	ローンプラザ	ローンプラザ支店	ろ－んぷらざしてん	ろ－んぷらざしてん-ろ－んぷらざしてん
2987	762	四国労働金庫	徳島	徳島支店	とくしましてん	とくしましてん-とくしましてん
0149	111	静岡銀行	本店営業部	本店営業部	ほんてんえいぎょうぶ	ほんてんえいぎょうぶ-ほんてんえいぎょうぶ
1319	001	芝信用金庫	本店営業部	本店営業部	ほんてんえいぎょうぶ	ほんてんえいぎょうぶ-ほんてんえいぎょうぶ
0039	001	auじぶん銀行	本店	本店	ほんてん	ほんてん-ほんてん
0181	001	十八親和銀行	佐世保本店営業部	佐世保本店営業部	させぼほんてんえいぎょうぶ	させぼほんてんえいぎょうぶ-させぼほんてんえいぎょうぶ
0130	004	常陽銀行	本店営業部	本店営業部	ほんてんえいぎょうぶ	ほんてんえいぎょうぶ-ほんてんえいぎょうぶ
1184	001	白河信用金庫	本店	本店	ほんてん	ほんてん-ほんてん
0397	350	SBI新生銀行	法人第一	法人第一支店	ほうじんだいいちしてん	ほうじんだいいちしてん-ほうじんだいいちしてん
0038	100	住信SBIネット銀行	本店	本店	ほんてん	ほんてん-ほんてん
0150	150	スルガ銀行	東京	東京支店	とうきようしてん	とうきようしてん-とうきょうしてん
0034	081	セブン銀行	法人営業第一部	法人営業第一部支店	ほうじんだいいちしてん	ほうじんだいいちしてん-ほうじんだいいちしてん
0035	001	ソニー銀行	本店営業部	本店営業部	ほんてんえいぎょうぶ	ほんてんえいぎょうぶ-ほんてんえいぎょうぶ
0140	020	第四北越銀行	長岡本店営業部	長岡本店営業部	ながおかほんてんえいぎょうぶ	ながおかほんてんえいぎょうぶ-ながおかほんてんえいぎょうぶ
0164	304	但馬銀行	浜坂	浜坂支店	はまさかしてん	はまさかしてん-はまさかしてん
1738	001	玉島信用金庫	本店営業部	本店営業部	ほんてんえいぎょうぶ	ほんてんえいぎょうぶ-ほんてんえいぎょうぶ
1696	001	但陽信用金庫	生野	生野支店	いくのしてん	いくのしてん-いくのしてん
0134	001	千葉銀行	中央	中央支店	ちゆうおうしてん	ちゆうおうしてん-ちゅうおうしてん
0294	020	三井住友信託銀行	大阪本店営業部	大阪本店営業部	おおさかほんてんえいぎょうぶ	おおさかほんてんえいぎょうぶ-おおさかほんてんえいぎょうぶ
2963	165	中央労働金庫	つくば	つくば支店	つくばしてん	つくばしてん-つくばしてん
0168	101	中国銀行	本店営業部	本店営業部	ほんてんえいぎょうぶ	ほんてんえいぎょうぶ-ほんてんえいぎょうぶ
2984	672	中国労働金庫	松江	松江支店	まつえしてん	まつえしてん-まつえしてん
2672	002	朝銀西信用組合	本店営業部	本店営業部	ほんてんえいぎょうぶ	ほんてんえいぎょうぶ-ほんてんえいぎょうぶ
0131	001	筑波銀行	本店営業部	本店営業部	ほんてんえいぎょうぶ	ほんてんえいぎょうぶ-ほんてんえいぎょうぶ
1735	001	津山信用金庫	本店	本店	ほんてん	ほんてん-ほんてん
0572	001	徳島大正銀行	本店営業部	本店営業部	ほんてんえいぎょうぶ	ほんてんえいぎょうぶ-ほんてんえいぎょうぶ
0166	111	鳥取銀行	本店営業部	本店営業部	ほんてんえいぎょうぶ	ほんてんえいぎょうぶ-ほんてんえいぎょうぶ
7641	301	鳥取西部農業協同組合	本所	本所	ほんしよ	ほんしよ-ほんしょ
0566	001	トマト銀行	本店営業部	本店営業部	ほんてんえいぎょうぶ	ほんてんえいぎょうぶ-ほんてんえいぎょうぶ
0162	010	南都銀行	本店営業部	本店営業部	ほんてんえいぎょうぶ	ほんてんえいぎょうぶ-ほんてんえいぎょうぶ
0190	001	西日本シティ銀行	天神	天神支店	てんじんしてん	てんじんしてん-てんじんしてん
1694	001	西兵庫信用金庫	本店営業部	本店営業部	ほんてんえいぎょうぶ	ほんてんえいぎょうぶ-ほんてんえいぎょうぶ
7837	001	晴れの国岡山農業協同組合	高梁	高梁支所	たかはしししょ	たかはしししょ-たかはしししょ
1686	011	播州信用金庫	本店営業部	本店営業部	ほんてんえいぎょうぶ	ほんてんえいぎょうぶ-ほんてんえいぎょうぶ
1743	001	備前日生信用金庫	本店営業部	本店営業部	ほんてんえいぎょうぶ	ほんてんえいぎょうぶ-ほんてんえいぎょうぶ
1743	001	備前日生信用金庫	本店営業部	本店営業部	ほんてんえいぎょうぶ	ほんてんえいぎょうぶ-ほんてんえいぎょうぶ
1740	001	備北信用金庫	本店営業部	本店営業部	ほんてんえいぎょうぶ	ほんてんえいぎょうぶ-ほんてんえいぎょうぶ
0182	101	肥後銀行	本店営業部	本店営業部	ほんてんえいぎょうぶ	ほんてんえいぎょうぶ-ほんてんえいぎょうぶ
0155	011	百五銀行	東京営業部	東京営業部	とうきようえいぎょうぶ	とうきようえいぎょうぶ-とうきょうえいぎょうぶ
0173	101	百十四銀行	本店営業部	本店営業部	ほんてんえいぎょうぶ	ほんてんえいぎょうぶ-ほんてんえいぎょうぶ
2606	010	兵庫県信用組合	本店営業部	本店営業部	ほんてんえいぎょうぶ	ほんてんえいぎょうぶ-ほんてんえいぎょうぶ
1687	001	兵庫信用金庫	本店営業部	本店営業部	ほんてんえいぎょうぶ	ほんてんえいぎょうぶ-ほんてんえいぎょうぶ
7288	112	兵庫西農業協同組合	安室	安室支所	やすむろししょ	やすむろししょ-ゃすむろししょ
7288	112	兵庫西農業協同組合	安室	安室支所	やすむろししょ	やすむろししょ-ゃすむろししょ
0169	001	広島銀行	本店営業部	本店営業部	ほんてんえいぎょうぶ	ほんてんえいぎょうぶ-ほんてんえいぎょうぶ
1750	001	広島信用金庫	本店営業部	本店営業部	ほんてんえいぎょうぶ	ほんてんえいぎょうぶ-ほんてんえいぎょうぶ
1750	001	広島信用金庫	本店営業部	本店営業部	ほんてんえいぎょうぶ	ほんてんえいぎょうぶ-ほんてんえいぎょうぶ
0177	001	福岡銀行	福岡市庁内	福岡市庁内支店	ふくおかしちようないしてん	ふくおかしちようないしてん-ふくおかしちょうないしてん
8047	582	福山市農業協同組合	今津出張所	今津出張所	いまづしゅっちょうじょ	いまづしゅっちょうじょ-いまづしゅっちょうじょ
0033	001	PayPay銀行	本店営業部	本店営業部	ほんてんえいぎょうぶ	ほんてんえいぎょうぶ-ほんてんえいぎょうぶ
0501	005	北洋銀行	松前	松前支店	まつまえしてん	まつまえしてん-まつまえしてん
0144	095	北陸銀行	コンビニATM	コンビニATM支店	こんびにＡＴＭしてん	こんびにＡＴＭしてん-こんびにＡＴＭしてん
6649	001	三重北農業協同組合	三重	三重支所	みえししょ	みえししょ-みえししょ
1734	001	水島信用金庫	本店営業部	本店営業部	ほんてんえいぎょうぶ	ほんてんえいぎょうぶ-ほんてんえいぎょうぶ
0001	001	みずほ銀行	東京営業部	東京営業部	とうきようえいぎょうぶ	とうきようえいぎょうぶ-とうきょうえいぎょうぶ
0289	010	みずほ信託銀行	本店営業部	本店営業部	ほんてんえいぎょうぶ	ほんてんえいぎょうぶ-ほんてんえいぎょうぶ
