車庫ID	使用中の数	販売数	使用中	査定ID	車名	型式	車体番号
1	1	1	TRUE	17920031	トヨタ	3BA-AGH30W	AGH30-0422041
2	1	2	TRUE	17612012	トヨタ	DAA-ZYX10	ZYX10-2118314
3	1	2	TRUE	12717869	トヨタ	DAA-ZVW51	ZVW51-6066746
4	1	3	TRUE	18088737	トヨタ	DAA-NHP10	NHP10-6500025
5	1	3	TRUE	17779793	マツダ	LDA-DK5FW	DK5FW-128673
6	2	1	TRUE	13272135	トヨタ	QDF-GDH201V	GDH201-1043163
7	1	0	TRUE	16584938	トヨタ	6AA-GWS224	GWS224-1004363
8	1	0	TRUE	16960314	トヨタ	DAA-ZVW30	ZVW30-5217575
9	1	2	TRUE	15040497	トヨタ	DBA-NZE181H	NZE181-6028693
10	1	0	TRUE	15974220	トヨタ	DAA-NHP10	NHP10-6021395
11	1	1	TRUE	7963875	トヨタ	DAA-NHP10	NHP10-6157708
12	1	2	TRUE	16131009	トヨタ	DAA-AVV50	AVV50-1010556
13	1	2	TRUE	18064986	トヨタ	6AA-AXAH54	AXAH54-4023236
14	1	1	TRUE	17697236	トヨタ	6AA-AZSH35	AZSH35-4014904
15	1	3	TRUE	16802559	スバル	DBA-ZC6	ZC6-013069
16	1	1	TRUE	16507873	トヨタ	5BA-MXPB10	MXPB10-3038736
17	1	3	TRUE	18730020	トヨタ	5BA-MXPC10G	MXPC10-1023699
18	1	2	TRUE	18040530	トヨタ	DBA-ANH20W	ANH20-8334045
19	1	1	TRUE	17491415	トヨタ	5BA-A200A	A200A-0062138
20	1	1	TRUE	16242281	トヨタ	DBA-AGH30W	AGH30-0230134
21	1	2	TRUE	16660128	レクサス	DAA-GWZ100	GWZ100-0002095
22	1	0	TRUE	18201733	トヨタ	5BA-MXPC10G	MXPC10-1024554
23	1	2	TRUE	17511739	三菱	DBA-GA4W	GA4W-0401694
24	1	2	TRUE	17793118	トヨタ	6AA-AYH30W	AYH30-0103982
25	1	1	TRUE	17242716	トヨタ	DBA-ANH20W	ANH20-8170313
26	1	1	TRUE	16261032	トヨタ	DBA-AGH35W	AGH35-0018242
27	1	3	TRUE	17054489	トヨタ	DBA-ANH20W	ANH20-8172097
28	1	2	TRUE	17930399	トヨタ	DBA-KGC30	KGC30-0101562
29	1	2	TRUE	17760732	トヨタ	3BA-TRJ150W	TRJ150-0169144
30	1	1	TRUE	15774550	トヨタ	DAA-NHP170G	NHP170-7056486
31	1	2	TRUE	17145300	トヨタ	3BA-VJA300W	VJA300-4079831
32	1	1	TRUE	17086915	トヨタ	6AA-ZWR90W	ZWR90-0050671
33	1	1	TRUE	16887960	ﾄﾖﾀ	3DF-GDH206V	GDH206-1061866
34	1	3	TRUE	18064134	レクサス	5BA-USE30	USE30-0002712
35	1	2	TRUE	18184532	トヨタ	DAA-NHP10	NHP10-2517170
36	1	1	TRUE	17276616	トヨタ	5AA-TZSH35	TZSH35-4001876
37	1	1	TRUE	18437936	トヨタ	DAA-NHP10	NHP10-2379369
38	1	2	TRUE	18241747	トヨタ	DAA-AXVH70	AXVH70-1041141
39	1	2	TRUE	18548884	トヨタ	5BA-MXPC10G	MXPC10-1024400
40	1	3	TRUE	18669317	ダイハツ	DBA-M900S	M900S-0058278
41	1	2	TRUE	17864990	スバル	DBA-VM4	VM4-093661
42	1	1	TRUE	16613894	トヨタ	DBA-GGH30W	GGH30-0033060
43	1	2	TRUE	17063092	レクサス	3BA-AGL20W	AGL20-0020346
44	1	0	TRUE	18211775	トヨタ	DAA-ZYX10	ZYX10-2130206
45	1	2	TRUE	13262810	ﾄﾖﾀ	DBA-AGH30W	AGH30-0049874
46	1	1	TRUE	18427308	トヨタ	DBA-NCP141	NCP141-9133176
47	1	2	TRUE	18787433	トヨタ	DAA-ZVW30	ZVW30-1951320
48	1	0	TRUE	16360268	トヨタ	6AA-AXUH80	AXUH80-0007148
49	2	2	TRUE	18451080	トヨタ	DBA-NSP172G	NSP172-7008300
50	1	2	TRUE	18658642	トヨタ	5BA-MXPB10	MXPB10-3040957
51	1	2	TRUE	16987047	トヨタ	6BA-MXAA54	MXAA54-2019103
52	1	0	TRUE	13257893	トヨタ	6AA-ZVW51	ZVW51-6206020
53	1	3	TRUE	10668251	トヨタ	6BA-MXUA80	MXUA80-0068009
54	1	2	TRUE	18624803	トヨタ	5BA-M700A	M700A-1044078
55	1	2	TRUE	16967625	トヨタ	DAA-AVU65W	AVU65-0061529
56	1	2	TRUE	18822439	トヨタ	6AA-MXPH10	MXPH10-2056316
57	1	4	TRUE	18620479	トヨタ	DBA-ZRR80G	ZRR80-0380187
58	1	0	TRUE	12761703	トヨタ	DAA-ZVW51	ZVW51-6005516
59	1	2	TRUE	18675670	トヨタ	3BA-TRJ150W	TRJ150-0165121
60	1	3	TRUE	17528919	ダイハツ	DBA-M900S	M900S-0036590
61	1	2	TRUE	17787361	トヨタ	DBA-ZRR80G	ZRR80-0213414
62	1	2	TRUE	18333638	トヨタ	3DF-GDH201V	GDH201-1090990
63	1	2	TRUE	14968465	トヨタ	6AA-AYH30W	AYH30-0107367
64	1	1	TRUE	18787600	トヨタ	DBA-ZRR80G	ZRR80-0422997
65	1	2	TRUE	16069094	トヨタ	5BA-A200A	A200A-0113364
66	1	2	TRUE	19130770	トヨタ	5BA-TAHA40W	TAHA40-0003911
67	1	1	TRUE	16056013	トヨタ	DAA-ZVW30	ZVW30-5744796
68	1	1	TRUE	10580559	トヨタ	DAA-ZVW51	ZVW51-8029929
69	1	2	TRUE	17651404	トヨタ	DBA-ASU60W	ASU60-0007827
70	1	2	TRUE	17644006	ダイハツ	5BA-A210S	A210S-0011013
71	1	3	TRUE	18949507	レクサス	3BA-VJA310W	VJA310-4028219
72	1	1	TRUE	19015009	ﾄﾖﾀ	5BA-MXPC10G	MXPC10-1024132
73	1	2	TRUE	18206531	トヨタ	3BA-TRJ150W	TRJ150-0149587
74	1	2	TRUE	15920669	トヨタ	6AA-AZSH20	AZSH20-1087494
75	1	1	TRUE	18950559	トヨタ	5BA-MXPC10G	MXPC10-1024161
76	1	1	TRUE	15747436	レクサス	6AA-AAZH25	AAZH25-1002069
77	1	2	TRUE	17707536	レクサス	DBA-AGL20W	AGL20-0010754
78	1	0	TRUE	17854795	トヨタ	6AA-ZWE211W	ZWE211-6051186
79	1	1	TRUE	17351054	トヨタ	DBA-NCP120	NCP120-2057373
80	1	1	TRUE	18528391	トヨタ	6AA-ZVG11	ZVG11-1014983
81	1	3	TRUE	12266708	トヨタ	3BA-AGH30W	AGH30-0309875
82	1	2	TRUE	18882263	トヨタ	5AA-TZSH35	TZSH35-6002130
83	1	3	TRUE	18594275	トヨタ	6AA-ZWR90W	ZWR90-0024436
84	1	3	TRUE	18611976	トヨタ	6AA-AXAH54	AXAH54-4048072
85	1	2	TRUE	15440493	トヨタ	6AA-ZYX11	ZYX11-2012442
86	1	2	TRUE	17849557	トヨタ	6BA-MXUA80	MXUA80-0024387
87	1	2	TRUE	5408424	トヨタ	DAA-ZVW41W	ZVW41-0004175
88	1	2	TRUE	18741180	トヨタ	DBA-NRE161G	NRE161-8005135
89	1	2	TRUE	18019861	ﾄﾖﾀ	6AA-ZYX11	ZYX11-2016471
90	1	3	TRUE	17729980	ﾄﾖﾀ	DAA-NHP10	NHP10-2111274
91	1	0	TRUE	18344347	ﾄﾖﾀ	DAA-NHP10	NHP10-6341048
92	1	3	TRUE	17183685	ﾄﾖﾀ	DAA-NHP10	NHP10-2504389
93	1	2	TRUE	19061100	ﾄﾖﾀ	5BA-MXPC10G	MXPC10-1023898
94	1	2	TRUE	15429850	ﾄﾖﾀ	DBA-M900A	M900A-0010349
95	1	1	TRUE	17908242	トヨタ	6BA-MXUA80	MXUA80-0013005
96	1	3	TRUE	17530710	ﾄﾖﾀ	3BA-AGH30W	AGH30-9024586
